"AREAKEY","GEO2000","TCH70_00","PCTCOV70","STATECD","STATECE","STUSAB","COUNCD","UCOUNTY","TRCTCD1","TRCTCD2","REGION","DIVIS","SHRNHW9","SHRNHB9","SHRNHI9","SHRNHA9","SHRNHO9","SHRHSP9","FFH9","EDUC169","EDUCPP9","UNEMPRT9","WELFARE9","MDFAMY9","AVHHIN9","MDVALHS9","SHRNHW0","SHRNHB0","SHRNHI0","SHRNHA0","SHRNHO0","SHRHSP0","FFH0","EDUC160","EDUCPP0","UNEMPRT0","WELFARE0","MDFAMY0","AVHHIN0","MDVALHS0"
"06037221210","06037221210","3","100.00","06","93","CA","037","06037","2212","10","4","9","0.03420144","0.05616567","0.000628","0.057421","0.008786","0.84279887","0.26033058","105","1729","0.11154856","0.16199756","9596","23302.616322","72169","0.028669","0.075101","0.000000","0.027734","0.002493","0.866002","0.294248","139","1877","0.100509","0.220149","36324","45241.169154","186100"
"06037221220","06037221220","3","100.00","06","93","CA","037","06037","2212","20","4","9","0.03394256","0.05613577","0.000783","0.057441","0.008616","0.84308094","0.26116838","127","2078","0.11141453","0.16125761","11532","23318.057809","86731","0.039026","0.021865","0.008027","0.065873","0.000000","0.865209","0.326172","154","2167","0.144537","0.183886","24297","45356.398104","155700"
"06037221301","06037221301","3","100.00","06","93","CA","037","06037","2213","01","4","9","0.04447115","0.28004808","0.000000","0.084135","0.001030","0.59031593","0.37922403","265","3350","0.10772059","0.18048780","20904","23422.758537","214300","0.040204","0.239578","0.000000","0.073653","0.001977","0.644587","0.320219","333","3515","0.193431","0.199208","23601","36465.082060","258900"
"06037221302","06037221302","3","100.00","06","93","CA","037","06037","2213","02","4","9","0.03789238","0.36210762","0.001345","0.073543","0.004260","0.52085202","0.32231405","135","2548","0.07875458","0.18138801","25493","27110.932965","202000","0.034213","0.267889","0.000224","0.066860","0.002236","0.628578","0.438416","147","2587","0.164497","0.247699","21250","27164.110429","255400"
"06037221400","06037221400","2","100.00","06","93","CA","037","06037","2214","","4","9","0.11332708","0.62341624","0.010558","0.014782","0.019709","0.21820741","0.48501873","389","2868","0.12699350","0.25787006","22500","26434.485599","221600","0.104598","0.533333","0.001609","0.026667","0.002759","0.331034","0.406000","385","2894","0.310323","0.288221","22601","27399.248120","256500"
"06037221500","06037221500","2","100.00","06","93","CA","037","06037","2215","","4","9","0.03081232","0.34628852","0.000000","0.057948","0.002976","0.56197479","0.28623630","166","3259","0.17851373","0.19961612","21250","23579.406910","185300","0.029349","0.333333","0.002915","0.061808","0.000000","0.572595","0.387435","219","3054","0.093733","0.285033","26379","33850.387597","175500"
"06037221600","06037221600","2","100.00","06","93","CA","037","06037","2216","","4","9","0.02897501","0.14668598","0.000000","0.025172","0.006519","0.79264759","0.29477612","94","2858","0.14341540","0.14852255","19871","26117.302488","176000","0.043090","0.117951","0.005560","0.026807","0.001787","0.804805","0.306431","206","2670","0.124187","0.248433","26020","38942.711599","173900"
"06037221710","06037221710","4","100.00","06","93","CA","037","06037","2217","10","4","9","0.01679537","0.04671815","0.015444","0.018147","0.000193","0.90289575","0.29707602","99","2766","0.15908176","0.11363636","21482","23519.434091","155001","0.031956","0.072646","0.012356","0.024499","0.000000","0.858543","0.264957","100","2655","0.138267","0.180714","21547","32305.214286","181300"
"06037221810","06037221810","3","100.00","06","93","CA","037","06037","2218","10","4","9","0.15060241","0.12382865","0.001339","0.164993","0.001004","0.55856760","0.32903226","473","1517","0.09353024","0.08456660","8062","20229.929175","93445","0.129382","0.143403","0.000319","0.163161","0.000000","0.563735","0.239193","377","1630","0.135506","0.189739","30417","24896.224589","158900"
"06037221820","06037221820","3","100.00","06","93","CA","037","06037","2218","20","4","9","0.15030675","0.12406271","0.001022","0.164963","0.001022","0.55828221","0.33114754","465","1489","0.09383954","0.08405172","7917","20249.568966","91755","0.298390","0.083044","0.002210","0.310704","0.000000","0.305652","0.322404","599","1399","0.166460","0.119658","22895","21829.316239","198200"
"06037221900","06037221900","0","100.00","06","93","CA","037","06037","2219","","4","9","0.27755338","0.16964801","0.007213","0.156953","0.013849","0.37478361","0.24038462","302","1522","0.11111111","0.12490816","18500","14839.355621","133600","0.326978","0.108696","0.000000","0.255702","0.017284","0.291340","0.238095","461","1509","0.206356","0.132968","30048","22480.740233","155600"
"06037222000","06037222000","2","100.00","06","93","CA","037","06037","2220","","4","9","0.02291041","0.64512561","0.003950","0.012482","0.009006","0.30652552","0.40090090","356","3842","0.13768686","0.22909931","21970","24262.090531","118300","0.021192","0.428493","0.002461","0.010391","0.000000","0.537462","0.333919","431","4058","0.136085","0.193640","32615","37015.519696","153400"
"06037222100","06037222100","0","100.00","06","93","CA","037","06037","2221","","4","9","0.00621958","0.49810708","0.000000","0.028394","0.002975","0.46430503","0.52507375","244","2078","0.16808770","0.22452660","21458","27016.403066","144700","0.014714","0.355805","0.008561","0.003210","0.008293","0.609417","0.333938","134","1981","0.120592","0.211345","28382","35948.124428","163100"
"06037222200","06037222200","0","100.00","06","93","CA","037","06037","2222","","4","9","0.00910209","0.46322263","0.004428","0.000000","0.004920","0.51832718","0.55794702","153","2253","0.10140501","0.22750000","21066","29599.504167","151800","0.032233","0.313822","0.001805","0.022434","0.000000","0.629706","0.345009","155","2145","0.139360","0.210931","25181","30240.392827","184900"
